Name,Clean Name,Alias,Previous Name,Parent Name,Note,Start date,End date,Source Url
China Unicom (Hong Kong) Limited (China Unicom HK),China Unicom (Hong Kong) Limited,China Unicom HK,,"China United Network Communications Group Co., Ltd.",,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"China Unicom Group (BVI) Co., Ltd.","China Unicom Group (BVI) Co., Ltd.",,,"China United Network Communications Group Co., Ltd.",,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"China United Network Communications Co., Ltd.","China United Network Communications Co., Ltd.",,,"China United Network Communications Group Co., Ltd.",,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"China United Network Communications Group Co., Ltd. (China Unicom)","China United Network Communications Group Co., Ltd.",China Unicom,,,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"CloudWalk Technology Co., Ltd. (CloudWalk)","CloudWalk Technology Co., Ltd.",CloudWalk,,,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
CNOOC China Limited (CNOOC China Ltd.),CNOOC China Limited,CNOOC China Ltd.,,China National Offshore Oil Corporation,,2025-01-07,2026-02-17,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"CNOOC International Trading Co., Ltd. (CNOOC International Trading)","CNOOC International Trading Co., Ltd.",CNOOC International Trading,,China National Offshore Oil Corporation,,2025-01-07,2026-02-17,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
COMAC America Corporation (CAC),COMAC America Corporation,CAC,,Commercial Aircraft Corporation of China Limited,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
Commercial Aircraft Corporation of China Limited (COMAC),Commercial Aircraft Corporation of China Limited,COMAC,,,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"Contemporary Amperex Technology Co., Ltd. (CATL)","Contemporary Amperex Technology Co., Ltd.",CATL,,,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
COSCO SHIPPING (North America) Inc.,COSCO SHIPPING (North America) Inc.,,,China COSCO SHIPPING Corporation Limited,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"COSCO SHIPPING Finance Co., Ltd.","COSCO SHIPPING Finance Co., Ltd.",,,China COSCO SHIPPING Corporation Limited,,2025-01-07,2026-02-17,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"Costar Group Co., Ltd. (Costar)","Costar Group Co., Ltd.",Costar,,,,2025-01-07,2026-02-17,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
CRRC Corporation Limited (CRRC),CRRC Corporation Limited,CRRC,,,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
CSSC Offshore & Marine Engineering (Group) Company Limited (COMEC),CSSC Offshore & Marine Engineering (Group) Company Limited,COMEC,,,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"Dawning Information Industry Co., Ltd. (Sugon)","Dawning Information Industry Co., Ltd. (Sugon)",,,,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
Forensic Genomics International (FGI),Forensic Genomics International,FGI,,BGI Group,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"GLARUN Technology Co., Ltd.","GLARUN Technology Co., Ltd.",,,China Electronics Technology Group Corporation,,2025-01-07,2026-02-17,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"Global Tone Communication Technology Co., Ltd. (GTCOM)","Global Tone Communication Technology Co., Ltd.",GTCOM,,,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
GTCOM Technology Corporation (GTCOM-US),GTCOM Technology Corporation,GTCOM-US,,"Global Tone Communication Technology Co., Ltd",,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"Guangzhou GCI Science & Technology Co., Ltd.","Guangzhou GCI Science & Technology Co., Ltd.",,,China Electronics Technology Group Corporation,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"Guangzhou Wenchong Shipyard Co., Ltd.","Guangzhou Wenchong Shipyard Co., Ltd.",,,CSSC Offshore & Marine Engineering (Group) Company Limited,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"Guizhou Aviation Technical Development Co., Ltd. (Guizhou Aviation Tech)","Guizhou Aviation Technical Development Co., Ltd.",Guizhou Aviation Tech,,,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"Hangzhou Hikvision Digital Technology Co., Ltd. (Hikvision)","Hangzhou Hikvision Digital Technology Co., Ltd.",Hikvision,,China Electronics Technology Group Corporation,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
Harbin First Machinery Group Ltd.,Harbin First Machinery Group Ltd.,,,China North Industries Group Corporation Limited,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"Heilongjiang Northern Tools Co., Ltd.","Heilongjiang Northern Tools Co., Ltd.",,,China South Industries Group Corporation,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"Huacheng (Tianjin) Ship Leasing Co., Ltd.","Huacheng (Tianjin) Ship Leasing Co., Ltd.",,,CSSC Offshore & Marine Engineering (Group) Company Limited,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"Huawei Investment & Holding Co., Ltd. (Huawei Holding)","Huawei Investment & Holding Co., Ltd.",Huawei Holding,,,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"Huawei Technologies Co., Ltd. (Huawei)","Huawei Technologies Co., Ltd.",Huawei,,,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"Inner Mongolia First Machinery Group Co., Ltd. (Inner Mongolia)","Inner Mongolia First Machinery Group Co., Ltd. (Inner Mongolia)",,,,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"Inspur Group Co., Ltd. (Inspur)","Inspur Group Co., Ltd.",Inspur,,,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"Jiangxi Hongdu Aviation Industry Co., Ltd. (Hongdu Aviation)","Jiangxi Hongdu Aviation Industry Co., Ltd.",Hongdu Aviation,,Aviation Industry Corporation of China Ltd.,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
John Holland Group Pty Ltd.,John Holland Group Pty Ltd.,,,China Communications Construction Group Limited,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
John Holland Services Pty Ltd.,John Holland Services Pty Ltd.,,,China Communications Construction Group Limited,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
Magnificent Tower Limited,Magnificent Tower Limited,,,Semiconductor Manufacturing International Corporation,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"MGI Tech Co., Ltd. (MGI)","MGI Tech Co., Ltd. (MGI)",,,BGI Group,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"NetPosa Technologies, Ltd. (NetPosa)","NetPosa Technologies, Ltd.",NetPosa,,,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"Oriental Blue Sky Titanium Technology Co., Ltd.","Oriental Blue Sky Titanium Technology Co., Ltd.",,,"China SpaceSat Co., Ltd.",,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"Origincell Technology Co., Ltd.","Origincell Technology Co., Ltd.",,,,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
Phoenix Optics Company Limited,Phoenix Optics Company Limited,,,China Electronics Technology Group Corporation,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"Quectel Wireless Solutions Co., Ltd.","Quectel Wireless Solutions Co., Ltd.",,,,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"SDIC Intelligence (Xiamen) Information Co., Ltd.","SDIC Intelligence (Xiamen) Information Co., Ltd.",,,,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
Semiconductor Manufacturing International (Beijing) Corporation (SMIC Beijing),Semiconductor Manufacturing International (Beijing) Corporation,SMIC Beijing,,,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
Semiconductor Manufacturing International (Shenzhen) Corporation (SMIC Shenzhen),Semiconductor Manufacturing International (Shenzhen) Corporation,SMIC Shenzhen,,,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
Semiconductor Manufacturing International (Tianjin) Corporation (SMIC Tianjin],Semiconductor Manufacturing International (Tianjin) Corporation,SMIC Tianjin,,,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
Semiconductor Manufacturing International Corporation (SMIC),Semiconductor Manufacturing International Corporation,SMIC,,,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
Semiconductor Manufacturing North China (Beijing) Corporation,Semiconductor Manufacturing North China (Beijing) Corporation,,,Semiconductor Manufacturing International Corporation,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
Semiconductor Manufacturing South China Corporation (SMIC South China),Semiconductor Manufacturing South China Corporation,SMIC South China,,,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"SenseTime Group, Inc.","SenseTime Group, Inc.",,,,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"Shanghai Aircraft Manufacturing Co., Ltd. (Assembly Manufacturing Center)","Shanghai Aircraft Manufacturing Co., Ltd.",Assembly Manufacturing Center,,Commercial Aircraft Corporation of China Limited,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"Shanghai East China Computer Co., Ltd.","Shanghai East China Computer Co., Ltd.",,,China Electronics Technology Group Corporation,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"Shanghai Yitu Network Technology Co., Ltd. (Yitu)","Shanghai Yitu Network Technology Co., Ltd.",Yitu,,,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
Shenyang Aircraft Design Institute,Shenyang Aircraft Design Institute,,,Aviation Industry Corporation of China Ltd.,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"Shenzhen Dajiang Baiwang Technology Co., Ltd.","Shenzhen Dajiang Baiwang Technology Co., Ltd.",,,"Shenzhen DJI Innovation Technology Co., Ltd.",,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"Shenzhen DJI Innovation Technology Co., Ltd. (DJI)","Shenzhen DJI Innovation Technology Co., Ltd.",DJI,,,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
SilTech Semiconductor Corporation,SilTech Semiconductor Corporation,,,Semiconductor Manufacturing International Corporation,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"Sinotrans & CSC Holdings Co., Ltd.","Sinotrans & CSC Holdings Co., Ltd.",,,,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
SMIC Holdings Limited (SMIC Holdings),SMIC Holdings Limited,SMIC Holdings,,,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"SMIC Semiconductor Manufacturing (Shanghai) Co., Ltd (SMIC Shanghai)","SMIC Semiconductor Manufacturing (Shanghai) Co., Ltd",SMIC Shanghai,,,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"SMIC, Americas","SMIC, Americas",,,Semiconductor Manufacturing International Corporation,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"Taiji Computer Co., Ltd.","Taiji Computer Co., Ltd.",,,China Electronics Technology Group Corporation,,2025-01-07,2026-02-17,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
Tencent Holdings Limited,Tencent Holdings Limited,,,,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"Wuhan Geosun Navigation Technology Co., Ltd. (Geosun)","Wuhan Geosun Navigation Technology Co., Ltd.",Geosun,,,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"Xi'an Aerospace Tianhua Data Technology Co., Ltd.","Xi'an Aerospace Tianhua Data Technology Co., Ltd.",,,"China SpaceSat Co., Ltd.",,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"Xi'an Aircraft Industry Group Co., Ltd.","Xi'an Aircraft Industry Group Co., Ltd.",,,Aviation Industry Corporation of China Ltd.,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"Xiamen Meiya Zhongmin Electronic Technology Co., Ltd.","Xiamen Meiya Zhongmin Electronic Technology Co., Ltd.",,,"SDIC Intelligence (Xiamen) Information Co., Ltd",,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"Yangtze Memory Technologies Co., Ltd. (YMTC)","Yangtze Memory Technologies Co., Ltd.",YMTC,,,,2025-01-07,2026-02-17,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
"Zhejiang Dahua Technology Co., Ltd. (Dahua)","Zhejiang Dahua Technology Co., Ltd.",Dahua,,,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
Zhonghang Electronic Measuring Instruments Company Limited (ZEMIC),Zhonghang Electronic Measuring Instruments Company Limited,ZEMIC,,,,2025-01-07,,https://media.defense.gov/2025/Jan/07/2003625471/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES.PDF
360 Security Technology Inc. (Qihoo 360),360 Security Technology Inc.,Qihoo 360,,,"Qihoo 360 is directly and indirectly affiliated with the Ministry of Industry and
Information Technology (MIIT) and the Ministry of State Security (Section
1260H(g)(2)(B)(i)(I)). Qihoo 360 is a military civil fusion contributor to the Chinese
defense industrial base because it is affiliated with the MIIT and with MSS (Sections
1260H(g)(3)(B)(i) and (g)(3)(B)(iv)).",2026-06-08,,https://media.defense.gov/2026/Jun/08/2003945537/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES-IN-ACCORDANCE-WITH-SECTION-1260H.PDF
"Aerospace CH UAV Co., Ltd (CH UAV)","Aerospace CH UAV Co., Ltd",CH UAV,,,"CH UAV is indirectly owned by the State-Owned Assets Supervision and Administration
Commission of the State Council (SASAC) and is directly affiliated with the People’s
Liberation Army (PLA) (Section 1260H(g)(2)(B)(i)(I)). CH UAV is a military-civil
fusion contributor to the Chinese defense industrial base because it is affiliated with the
People’s Liberation Army (PLA) (Section 1260H(g)(3)(B)(v)).",2026-06-08,,https://media.defense.gov/2026/Jun/08/2003945537/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES-IN-ACCORDANCE-WITH-SECTION-1260H.PDF
Aerosun Corporation (Aerosun),Aerosun Corporation,Aerosun,,,"Aerosun is indirectly owned by the SASAC and is indirectly affiliated with SASAC
(Section 1260H(g)(2)(B)(i)(I)).",2026-06-08,,https://media.defense.gov/2026/Jun/08/2003945537/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES-IN-ACCORDANCE-WITH-SECTION-1260H.PDF
Alibaba Group Holding Limited (Alibaba),Alibaba Group Holding Limited,Alibaba,,,"Alibaba is indirectly affiliated with SASAC (Section 1260H(g)(2)(B)(i)(I)). Alibaba is a
military-civil fusion contributor to the Chinese defense industrial base because it is
affiliated with MIIT (Section 1260H(g)(3)(B)(i)).",2026-06-08,,https://media.defense.gov/2026/Jun/08/2003945537/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES-IN-ACCORDANCE-WITH-SECTION-1260H.PDF
"Autel Intelligent Technology Corp., Ltd. (Autel Technology)","Autel Intelligent Technology Corp., Ltd.",Autel Technology,,,"Autel Technology is a military-civil fusion contributor to the Chinese defense industrial
base because it knowingly received assistance from the Government of China through
science, technology, or industrial efforts initiated, granted, or created by, or provided
under, or related to, the Chinese military planning apparatus or in furtherance of Chinese
military industrial planning objectives through its designation as a “Little Giant” and
because it is affiliated with MIIT (Sections 1260H(g)(3)(A) and (g)(3)(B)(i)).",2026-06-08,,https://media.defense.gov/2026/Jun/08/2003945537/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES-IN-ACCORDANCE-WITH-SECTION-1260H.PDF
"Autel Robotics Co., Ltd. (Autel Robotics)","Autel Robotics Co., Ltd.",Autel Robotics,,,"Autel Robotics is a military-civil fusion contributor to the Chinese defense industrial base
because it knowingly received assistance from the Government of China through science,
technology, or industrial efforts initiated, granted, or created by, or provided under, or
related to, the Chinese military planning apparatus or in furtherance of Chinese military
industrial planning objectives through its designation as a “Little Giant” (Section
1260H(g)(3)(A)).",2026-06-08,,https://media.defense.gov/2026/Jun/08/2003945537/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES-IN-ACCORDANCE-WITH-SECTION-1260H.PDF
Aviation Industry Corporation of China Ltd. (AVIC),Aviation Industry Corporation of China Ltd.,AVIC,,,"AVIC is directly owned and controlled by SASAC (Section 1260H(g)(2)(B)(i)(I)). AVIC
is a military-civil fusion contributors to the Chinese defense industrial base because it is
affiliated with SASAC and State Administration of Science, Technology and Industry for
National Defense (SASTIND) (Section 1260H(g)(3)(B)).",2026-06-08,,https://media.defense.gov/2026/Jun/08/2003945537/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES-IN-ACCORDANCE-WITH-SECTION-1260H.PDF
Align Aerospace LLC,Align Aerospace LLC,,,"Aviation Industry Corporation of China, Ltd.",,2026-06-08,,https://media.defense.gov/2026/Jun/08/2003945537/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES-IN-ACCORDANCE-WITH-SECTION-1260H.PDF
Avicopter PLC,Avicopter PLC,,,"Aviation Industry Corporation of China, Ltd.",,2026-06-08,,https://media.defense.gov/2026/Jun/08/2003945537/-1/-1/1/ENTITIES-IDENTIFIED-AS-CHINESE-MILITARY-COMPANIES-OPERATING-IN-THE-UNITED-STATES-IN-ACCORDANCE-WITH-SECTION-1260H.PDF
