Name,City,Address,SourceURL
Casa Vida Luxury Holidays,Havana,"107 Villegas la Habana Dernier Etage, Habana, Cuba 10 400 ^",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Chateau Miramar,Havana,"Avenida 1ra. e/ 60 y 70, Miramar, Playa, Habana, Cuba 11 300",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Club Acuario,Havana,"Calle 248 y 5ta Ave Marina Hemingway, Playa, Habana, Cuba 10 400",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Comodoro,Havana,"3rd Avenue and 84th street, Habana, Cuba 21 016",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
El Viejo Y El Mar,Havana,"Calle 248 y 5th Ave Marina Hemingway Santa Fe, Habana, Cuba 10 400",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Gran Hotel Bristol Kempinski,Havana,"Calle San Rafael (entre Monserrate y, Agramonte, Habana, Cuba 10 100",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Gran Hotel Manzana Kempinski,Havana,"San Rafael (entre Monserrate y, Agramonte, Habana, Cuba 10 100",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
H10 Habana Panorama,Havana,"Avda 3 y Calle 70, Miramar, Habana, Cuba 10 400",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Habana Riviera By Iberostar,Havana,"Ave Paseo y Malecón, Vedado, Plaza de la Revolución, Habana, Cuba 10 400",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Hostal Valencia,Havana,"Calle de los Oficios No. 55 esq. a Obrapía, Old Havana, Habana, Cuba 10 400",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Hostel Vedado Azul,Havana,"Calle 2, e/ 23 y 25, Vedado, Plaza de la Revolución, Habana, Cuba 10 400",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Hotel Ambos Mundos,Havana,"Calle Obispo No. 153 e/ Mercaderes y San Ignacio, Old Havana, Habana, Cuba 10 400",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Hotel Armadores de Santander,Havana,"Calle Luz 4 Esq San Pedro, Habana, Cuba 10 100",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Hotel Atlántico,Havana,"Ave de las Terrazas Santa Maria del Mar. Habana del Este, Habana, Cuba 10 900",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Hotel Bella Habana (Aeropuerto),Havana,"Calle Conill e/ Marino y Boyeros, Nuevo Vedado, Plaza de la Revolución, Habana, Cuba 10 400",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Hotel Beltrán de Santa Cruz,Havana,"Calle San Ignacio No. 411 e/ Sol y Muralla, Habana Vieja, Habana, Cuba 10 400",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Hotel Bruzón,Havana,"Calle Bruzón No. 217 e/ Pozos Dulces y Boyero, Plaza de la Revolución, Habana, Cuba 10 400",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Hotel Caribbean,Havana,"Prado No. 164 e/ Colón y Refugio, Habana Vieja, Habana, Cuba 10 100",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Hotel Colina,Havana,"Calle L e/ 27 y Jovellar, Vedado, Plaza de la Revolución, Habana, Cuba 10 400",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Hotel Conde de Villanueva,Havana,"Calle de los Mercaderes No. 202 esq. a Lamparilla, Lamparilla, La Habana, Cuba 10 400",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Hotel Deauville,Havana,"Calle Galiano y Malecon Old Havana, Habana, Cuba 10 400",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Hotel del Tejadillo,Havana,"Calle Tejadillo No.12 esq. a San Ignacio, Habana Vieja, Habana, Cuba 10 400",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Hotel el Bosque,Havana,"Calle 28 A entre 49A y 49C Reparto Kohly, Habana, Cuba 10 400",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Hotel el Comendador,Havana,"Calle Obrapia 55 Esquina Baratill, Habana, Cuba 10 400",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
Hotel el Mesón de la Flota,Havana,"Calle Mercaderes Entre Amargura Y Teniente Rey 257, Habana, Cuba 10 400",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
