no,business_enterprise,listed_activity_subparagraph_of_paragraph_96,home_state,response_from_business_enterprise
104,Mishkan Eliyahu – Construction and Investment Company Ltd.,"(a), (g)",Israel,
105,Mivne Real Estate KD Ltd.,(g),Israel,
106,Mizrachi & Sons Investments Group Ltd.g,"(a), (g)",Israel,
107,Mizrahi Tefahot Bank Ltd.,"(e), (g)",Israel,
108,Modi’in Ezrachi Group Ltd.,"(d), (e), (g)",Israel,
109,Mordechai Aviv 1973 Ltd.,(g),Israel,
110,Motorola Solutions Israel Ltd.,"(d), (e)",Israel,
111,"Motorola Solutions, Inc.","(d), (e)",United States of America,
112,Natoon – Nof Yam Security Ltd.,"(d), (e)",Israel,
113,New Way Traffic Ltd.,"(a), (e)",Israel,
114,N.O.H. Management and Consulting Ltd.,(g),Israel,
115,Ofertex Industries 1997 Ltd.,(g),Israel,
116,Olenik Transportation Earth Work and Road Constructions Ltd.,"(a), (e)",Israel,
117,Oron Group Investments & Holdings Ltd.,"(a), (e), (g)",Israel,
118,Partner Communications Company Ltd.,"(e), (g)",Israel,
119,Paz Retail and Energy Ltd.h,"(e), (g)",Israel,
120,Pelephone Communications Ltd.,"(e), (g)",Israel,
121,Powergen Solar A Ltd.i,"(a), (e)",Israel,
122,Proffimat S.R Ltd.,(g),Israel,
123,Rami Levi Chain Stores Hashikma Marketing 2006 Ltd.,"(e), (g)",Israel,
124,Rami Levy Hashikma Marketing Communication Ltd.,"(e), (g)",Israel,
125,"Re/Max Holdings, Inc.","(e), (g)",United States of America,
126,Rotshtein Real Estate Ltd.,(g),Israel,
127,S.A.G. (Velvel) Building & Development Ltd.,"(a), (g)",Israel,
128,Salomon A. Angel Ltd.j,"(e), (g)",Israel,
129,Sarfati Shimon Ltd.,"(a), (g)",Israel,
130,"Shahar Co. – Civil Engineering, Construction and Infrastructure Company Ltd.","(a), (g)",Israel,
131,Shalgal Food Ltd.,(g),Israel,
132,Shapir Engineering and Industry Ltd.,"(a), (e), (g)",Israel,
133,Shikun & Binui Ltd.,(e),Israel,
134,Shikun & Binui – Solel Boneh – Infrastructure Ltd.,"(a), (e)",Israel,
135,Shlomo Cohen Construction Company Ltd.,"(a), (g)",Israel,
136,Shoham Engineering and Development Ltd.,"(a), (e), (g)",Israel,
137,Shufersal Ltd.,"(e), (g)",Israel,
138,Sonol Israel Ltd.,"(e), (g)",Israel,
139,Superbus Transportation and Tourism Ltd.,(e),Israel,
140,Supergum Industries 1969 Ltd.,(g),Israel,
141,The American Israeli Gas Corporation Ltd. (Amisragas),"(e), (g)",Israel,
142,"TripAdvisor, Inc.",(e),United States of America,
143,Twitoplast Ltd.,(g),Israel,
144,Unikowsky Maoz Ltd.,(g),Israel,
145,Villar International Ltd.,(g),Israel,
146,Yacobi Brothers Group (YSB) Ltd.,"(e), (g)",Israel,
147,Y.A.Z (Yaaz) – Construction and Development Company Ltd.,(c),Israel,
148,Y.D. Barazani Ltd.,"(a), (g)",Israel,
149,Yes TV and Communications Services Ltd.k,(e),Israel,
150,Zakai Agricultural Know-how and Inputs Ltd.,(g),Israel,
151,Z.M.H. Hammerman Ltd.,"(e), (g)",Israel,
152,Z.F. Building Company Ltd.l,(g),Israel,
153,Zriha Hlavin Industries Ltd.,(g),Israel,
1,ACS Actividades de Construcción y Servicios S.A.,(g),Spain,8 December 2025
2,Alstom S. A.,(g),France,26 September 2025
3,Ariel Properties Group,"(e), (g)",Israel,26 September 2025
4,Cim Lustigman Development and Construction Ltd.,(g),Israel,8 December 2025
5,eDreams ODIGEO S.A.,(e),Spain,26 September 2025
6,Hadiklaim Israel Date Growers Cooperative Ltd.,(g),Israel,26 September 2025
7,Kardan N.V.,(e),Kingdom of the Netherlands,26 September 2025
8,Metrontario Investments Ltd.,(g),Canada,8 December 2025
9,Opodo Ltd.,(e),United Kingdom of Great Britain and Northern Ireland,26 September 2025
10,Tahal Group International B.V.,(e),Netherlands,26 September 2025
11,Sociedad Espanola De Montajes Industriales S.A. (SEMI),(g),Spain,3 June 2026
12,Steconfer S.A.,"(a), (e)",Portugal,17 July 2026
