schema,name,aliases,topics,program,authority,reason,report-date,start-date,end-date,country,notes,source_url
Company,"BYD Company, Limited",,,Section 154 of the United States National Defense Authorization Act for Fiscal Year 2024,United States Congress,,2023-12-22,"October 1, 2027",,,"Beginning on October 1, 2027, none of the funds authorized to be appropriated or otherwise made available for the Department of Defense may be obligated or expended to procure a battery produced by the entity.",https://www.congress.gov/118/plaws/publ31/PLAW-118publ31.pdf
Company,"Contemporary Amperex Technology Company, Limited",CATL,,Section 154 of the United States National Defense Authorization Act for Fiscal Year 2024,United States Congress,,2023-12-22,"October 1, 2027",,,"Beginning on October 1, 2027, none of the funds authorized to be appropriated or otherwise made available for the Department of Defense may be obligated or expended to procure a battery produced by the entity.",https://www.congress.gov/118/plaws/publ31/PLAW-118publ31.pdf
Company,"Envision Energy, Limited",,,Section 154 of the United States National Defense Authorization Act for Fiscal Year 2024,United States Congress,,2023-12-22,"October 1, 2027",,,"Beginning on October 1, 2027, none of the funds authorized to be appropriated or otherwise made available for the Department of Defense may be obligated or expended to procure a battery produced by the entity.",https://www.congress.gov/118/plaws/publ31/PLAW-118publ31.pdf
Company,"EVE Energy Company, Limited",,,Section 154 of the United States National Defense Authorization Act for Fiscal Year 2024,United States Congress,,2023-12-22,"October 1, 2027",,,"Beginning on October 1, 2027, none of the funds authorized to be appropriated or otherwise made available for the Department of Defense may be obligated or expended to procure a battery produced by the entity.",https://www.congress.gov/118/plaws/publ31/PLAW-118publ31.pdf
Company,"Gotion High tech Company, Limited",,,Section 154 of the United States National Defense Authorization Act for Fiscal Year 2024,United States Congress,,2023-12-22,"October 1, 2027",,,"Beginning on October 1, 2027, none of the funds authorized to be appropriated or otherwise made available for the Department of Defense may be obligated or expended to procure a battery produced by the entity.",https://www.congress.gov/118/plaws/publ31/PLAW-118publ31.pdf
Company,"Hithium Energy Storage Technology company, Limited",,,Section 154 of the United States National Defense Authorization Act for Fiscal Year 2024,United States Congress,,2023-12-22,"October 1, 2027",,,"Beginning on October 1, 2027, none of the funds authorized to be appropriated or otherwise made available for the Department of Defense may be obligated or expended to procure a battery produced by the entity.",https://www.congress.gov/118/plaws/publ31/PLAW-118publ31.pdf
