schema,name,aliases,topics,program,authority,reason,report-date,start-date,end-date,country,notes,source_url
Company,ChangXin Memory Technologies,CXMT,debarment,Section 5949 of the James M. Inhofe National Defense Authorization Act for Fiscal Year 2023 (Public Law 117-263),United States Congress,,,,,,,https://www.congress.gov/117/bills/hr7776/BILLS-117hr7776enr.pdf
Company,Semiconductor Manufacturing International Corporation,SMIC,debarment,Section 5949 of the James M. Inhofe National Defense Authorization Act for Fiscal Year 2023 (Public Law 117-263),United States Congress,,,,,,,https://www.congress.gov/117/bills/hr7776/BILLS-117hr7776enr.pdf
Company,Yangtze Memory Technologies Corp,YMTC,debarment,Section 5949 of the James M. Inhofe National Defense Authorization Act for Fiscal Year 2023 (Public Law 117-263),United States Congress,,,,,,,https://www.congress.gov/117/bills/hr7776/BILLS-117hr7776enr.pdf
