schema,name,aliases,topics,program,authority,reason,report-date,start-date,end-date,country,notes,source_url
Person,Elden Vasquez,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"current congressional representative, engaged in significant corruption through the misappropriation of $12.5 million from the Secretariat of Agriculture to political campaigns for his personal gain. He was indicted in the Pandora MACCIH-investigated corruption case in June 2018.",2021,,December 2023,HONDURAS,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report/
Person,Elder de Jesús Súchite Vargas,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"former Minister of Culture, engaged in significant corruption related to government contracts and influence peddling for personal gain.",2021,,December 2023,GUATEMALA,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report/
Person,Eleazar Alexander Juarez Sarabia,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"former member of congress, engaged in significant corruption by misappropriating funds from a public pest control program in his home department of Valle to his personal accounts.",2021,,December 2023,HONDURAS,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report/
Person,Elmer Jeovanny Ordonez Espinal,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"Internal Controls Supervisor of the National Bank for Agricultural Development from 2010 to 2014, transferred proceeds of corruption when he aided the misappropriation of more than $500,000 from Bono 10 Mil, a presidential project aimed at reducing rural poverty.",2022,,December 2023,HONDURAS,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report-2022/
Person,Elvin Ernesto Santos Ordonez,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"current congressional representative, engaged in significant corruption when he misappropriated funds from the Secretariat of Agriculture to political campaigns.",2021,,December 2023,HONDURAS,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report/
Person,Enrique Alberto Flores Lanza,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"Minister of Presidency from 2008 to 2009, engaged in significant corruption by receiving $2 million in public money from the Honduran Central Bank and improperly redistributing it to political allies.",2022,,December 2023,HONDURAS,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report-2022/
Person,Erick Gustavo Santiago de Leon,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"a former judge and President of the Regional Appeal Civil Court, engaged in significant corruption and obstructed investigations into acts of corruption by soliciting bribes in return for favorable court rulings in cases before him.",2022,,December 2023,GUATEMALA,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report-2022/
Person,Erick Ramon Laguna Averruz,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"a judge, undermined democratic processes or institutions when he convicted and sentenced prodemocracy leaders on vague, false charges of “undermining national integrity” in the sham trials of opposition activist Alexis Peralta and farmer without political affiliation Santos Camilo Bellorin.",2022,,December 2023,NICARAGUA,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report-2022/
Person,Ezequiel Milla Guerra,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"former mayor of La Union, engaged in significant corruption by abusing his authority as mayor in the sale of Perico Island to agents of the People’s Republic of China in exchange for personal benefit.",2021,,December 2023,EL SALVADOR,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report/
Person,Felipe Alejos Lorenzana,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"former first secretary of the Guatemalan Congress, has engaged in significant corruption. While acting in his official capacity, Mr. Alejos was involved in corrupt acts to enrich himself, while also seriously harming U.S. businesses’ international economic activity. He is designated under the Global Magnitsky sanctions program and Section 7031(c) for involvement in significant corruption.",2021,,December 2023,GUATEMALA,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report/
Person,Felix Ernesto Salmeron Moreno,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"a judge, undermined democratic processes or institutions when he convicted and sentenced prodemocracy leaders on vague, false charges of “undermining national integrity” in the sham trials of former presidential candidates Juan Sebastian Chamorro, Felix Maradiaga, Arturo Cruz, and Medardo Mairena; civic leaders Pedro Mena, Jose Pallais, Violeta Granera, Tamara Davila, Jose Quintanilla Hernandez, Roger Reyes; and business leader Jose Adan Aguerri.",2022,,December 2023,NICARAGUA,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report-2022/
Person,Florencio Carrascoza Gamez,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"current mayor of Joyabaj, undermined democratic processes or institutions by intimidating and unjustly imprisoning political opponents.",2021,,December 2023,GUATEMALA,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report/
Person,Francisco Javier Argueta Gomez,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"current Presidential Legal Advisor, undermined democratic processes or institutions by masterminding the removal of five Supreme Court Magistrates and the Attorney General in an unusual process in apparent contravention of the processes set out in Article 186 of the Constitution, which requires the selection of such Magistrates from a list of candidates drafted by the National Council of the Judiciary.",2022,,December 2023,EL SALVADOR,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report-2022/
Person,Fredy Raul Orellana Letona,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"a current judge, undermined democratic processes or institutions by authorizing unsubstantiated, politically motivated criminal charges against journalists who were exercising their freedom of expression as protected by Guatemalan law.",2023,,December 2023,GUATEMALA,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report-2023/
Person,Geisler Smaille Perez Dominguez,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"a current judge for the Third Criminal Court, undermined democratic processes by obstructing prosecutions of proponents of the “Parallel Commissions 2020” scheme to stack the Supreme Court and Appellate Courts with corrupt judges.",2022,,December 2023,GUATEMALA,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report-2022/
Person,Gendri Rocael Reyes Mazariegos,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"a former minister of interior, engaged in significant corruption.",2023,,December 2023,GUATEMALA,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report-2023/
Person,Gerardo Guerrero,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"commissioner of the Institute for Access to Public Information, undermined democratic processes or institutions by purposefully and wrongfully blocking access to public information through his position as a commissioner.",2023,,December 2023,EL SALVADOR,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report-2023/
Person,Gladis de los Angeles Baez,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"the current second vice president of the National Assembly, undermined democratic processes or institutions by taking part in coordinated government retaliation to strip Nicaraguan citizenship from political opponents and critics of the Ortega-Murillo regime.",2023,,December 2023,NICARAGUA,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report-2023/
Person,Gladys Aurora Lopez,,,Section 353(b) of the United States - Northern Triangle Enhanced Engagement Act,United States Department of State,"member of the Honduran National Congress Executive Board, engaged in significant corruption. He was indicted in the Arca Abierta MACCIH-investigated corruption case for embezzling $800,000 from various government agencies.",2021,,December 2023,HONDURAS,,https://www.state.gov/reports/section-353-corrupt-and-undemocratic-actors-report/
