"ELF Code","Country of formation","Country Code (ISO 3166-1)","Jurisdiction of formation","Country sub-division code (ISO 3166-2)","Entity Legal Form name Local name","Language","Language Code (ISO 639-1)","Entity Legal Form name Transliterated name (per ISO 01-140-10)","Abbreviations Local language","Abbreviations transliterated","Date created YYYY-MM-DD (ISO 8601)","ELF Status ACTV/INAC","Modification","Modification date YYYY-MM-DD (ISO 8601)","Reason"
"3OW3","Croatia","HR","","","Europsko gospodarsko interesno udruženje (skraćeno EGIU)","Croatian","hr","Europsko gospodarsko interesno udruženje (skraćeno EGIU)","EGIU","","2017-11-30","ACTV","","",""
"6Q6D","Croatia","HR","","","Pravna osoba Katoličke Crkve","Croatian","hr","Pravna osoba Katoličke Crkve","","","2019-07-05","ACTV","","",""
"6RD2","Croatia","HR","","","Agencije I druge samostalne pravne osobe s javnim ovlastima","Croatian","hr","Agencije I druge samostalne pravne osobe s javnim ovlastima","","","2019-07-05","ACTV","","",""
"8VRU","Croatia","HR","","","Europska zadruga (Societas Cooperativa Europaea, skraćeno SCE)","Croatian","hr","Europska zadruga (Societas Cooperativa Europaea, skraćeno SCE)","SCE","","2017-11-30","ACTV","","",""
"9D9U","Croatia","HR","","","Trgovac pojedinac","Croatian","hr","Trgovac pojedinac","t.p.","","2017-11-30","ACTV","","",""
"9PZC","Croatia","HR","","","Fundacija","Croatian","hr","Fundacija","","","2019-07-05","ACTV","","",""
"E9CM","Croatia","HR","","","Europsko društvo (Societas Europaea, skraćeno SE)","Croatian","hr","Europsko društvo (Societas Europaea, skraćeno SE)","SE","","2017-11-30","ACTV","","",""
"EYKU","Croatia","HR","","","Stečajna masa","Croatian","hr","Stečajna masa","","","2017-11-30","ACTV","","",""
"G5RH","Croatia","HR","","","Zadruge","Croatian","hr","Zadruge","","","2017-11-30","ACTV","","",""
"IVVD","Croatia","HR","","","Savez zadruga","Croatian","hr","Savez zadruga","","","2017-11-30","ACTV","","",""
"KP34","Croatia","HR","","","Javno trgovačko društvo","Croatian","hr","Javno trgovačko društvo","j.t.d.","","2017-11-30","ACTV","","",""
"LUMA","Croatia","HR","","","Dioničko društvo","Croatian","hr","Dioničko društvo","d.d.","","2017-11-30","ACTV","","",""
"MF7P","Croatia","HR","","","Komanditno društvo","Croatian","hr","Komanditno društvo","k.d.","","2017-11-30","ACTV","","",""
"NRTG","Croatia","HR","","","Podružnica","Croatian","hr","Podružnica","","","2017-11-30","ACTV","","",""
"OQWO","Croatia","HR","","","Društvo s ograničenom odgovornošću (jednostavno društvo s ograničenom odgovornošću)","Croatian","hr","Društvo s ograničenom odgovornošću","d.o.o.;j.d.o.o","","2017-11-30","ACTV","","",""
"SPJ7","Croatia","HR","","","Vjerska zajednica","Croatian","hr","Vjerska zajednica","","","2019-07-05","ACTV","","",""
"TSA0","Croatia","HR","","","Tijelo državne uprave","Croatian","hr","Tijelo državne uprave","","","2019-07-05","ACTV","","",""
"XQLW","Croatia","HR","","","Jedinica lokalne ili područne (regionalne) samouprave","Croatian","hr","Jedinica lokalne ili područne (regionalne) samouprave","","","2019-07-05","ACTV","","",""
"YA9S","Croatia","HR","","","Zajednica ustanova","Croatian","hr","Zajednica ustanova","","","2017-11-30","ACTV","","",""
"ZFQS","Croatia","HR","","","Ustanova","Croatian","hr","Ustanova","","","2017-11-30","ACTV","","",""
"ZMY8","Croatia","HR","","","Zaklada","Croatian","hr","Zaklada","","","2019-07-05","ACTV","","",""
"1SVL","Curaçao","CW","","","Stille vennootschap","Dutch","nl","Stille vennootschap","","","2017-11-30","ACTV","","",""
"1T06","Curaçao","CW","","","Stichting","Dutch","nl","Stichting","","","2017-11-30","ACTV","","",""
"2J66","Curaçao","CW","","","Stichting Particulier Fonds","Dutch","nl","Stichting Particulier Fonds","","","2017-11-30","ACTV","","",""
"36AO","Curaçao","CW","","","Naamloze Vennootschap","Dutch","nl","Naamloze Vennootschap","","","2017-11-30","ACTV","","",""
"5OZV","Curaçao","CW","","","Eenmanszaak","Dutch","nl","Eenmanszaak","","","2017-11-30","ACTV","","",""
"9E0Q","Curaçao","CW","","","Commanditaire vennootschap","Dutch","nl","Commanditaire vennootschap","","","2017-11-30","ACTV","","",""
"ADF8","Curaçao","CW","","","Coöperatie","Dutch","nl","Coöperatie","","","2017-11-30","ACTV","","",""
"IHD0","Curaçao","CW","","","Rederij","Dutch","nl","Rederij","","","2017-11-30","ACTV","","",""
"KM1T","Curaçao","CW","","","Openbare vennootschap","Dutch","nl","Openbare vennootschap","","","2017-11-30","ACTV","","",""
"MZB1","Curaçao","CW","","","Besloten Vennootschap","Dutch","nl","Besloten Vennootschap","","","2017-11-30","ACTV","","",""
"SS3A","Curaçao","CW","","","Onderlinge waarborgmaatschappij","Dutch","nl","Onderlinge waarborgmaatschappij","","","2017-11-30","ACTV","","",""
"WV3I","Curaçao","CW","","","Vereniging","Dutch","nl","Vereniging","","","2017-11-30","ACTV","","",""
"ZKTC","Curaçao","CW","","","Trust","Dutch","nl","Trust","","","2017-11-30","ACTV","","",""
"1MBR","Cyprus","CY","","","Άλλη νομική μορφή","Greek","el","Alli nomiki morfi","","","2017-11-30","ACTV","","",""
"233U","Cyprus","CY","","","Συνεταιρισμός","Greek","el","Synetairismos","","","2017-11-30","ACTV","","",""
"8BL9","Cyprus","CY","","","Ευρωπαϊκή Δημόσια Εταιρεία Περιορισμένης Ευθύνης","Greek","el","Evropaiki Dimosia Etaireia Periorismenis Efthynis","","","2017-11-30","ACTV","","",""
"8VZ0","Cyprus","CY","","","Trust","English","en","Trust","","","2020-06-10","ACTV","","",""
"BCF5","Cyprus","CY","","","Δημόσια Εταιρεία Περιορισμένης Ευθύνης με μετοχές","Greek","el","Dimosia Etaireia Periorismenis Efthynis me metoches","","","2017-11-30","ACTV","","",""
"FV0K","Cyprus","CY","","","Eμπορική Επωνυμία","Greek","el","Emporiki Eponymia","","","2017-11-30","ACTV","","",""
"GLCH","Cyprus","CY","","","Σωματεία και Ιδρυμάτα","Greek","el","Somateia kai Idrymata","","","2017-11-30","ACTV","","",""
"HIL6","Cyprus","CY","","","Αλλοδαπή Εταιρεία","Greek","el","Allodapi Etaireia","","","2017-11-30","ACTV","","",""
"I8RE","Cyprus","CY","","","Αυτοτελώς εργαζόμενος","Greek","el","Aftotelos ergazomenos","","","2017-11-30","ACTV","","",""
"INTY","Cyprus","CY","","","Εταιρεία Περιορισμένης Ευθύνης με εγγύηση, και που έχει μετοχικό κεφάλαιο","Greek","el","Etaireia Periorismenis Efthynis me engyisi, kai pou echei metochiko kefalaio","","","2017-11-30","ACTV","","",""
"K9L6","Cyprus","CY","","","Ιδιωτική Εταιρεία Περιορισμένης Ευθύνης με μετοχές","Greek","el","Idiotiki Etaireia Periorismenis Efthynis me metoches","","","2017-11-30","ACTV","","",""
"MYKG","Cyprus","CY","","","Δημόσια Εταιρεία","Greek","el","Dimosia Etaireia","","","2017-11-30","ACTV","","",""
"P12B","Cyprus","CY","","","Ταμεία Προνοίας/ Συντάξεως","Greek","el","Tameia Pronoias/ Syntaxeos","","","2017-11-30","ACTV","","",""
"P5JT","Cyprus","CY","","","Ευρωπαϊκός Όμιλος Οικονομικού Σκοπού","Greek","el","Ευρωπαϊκός Όμιλος Οικονομικού Σκοπού","ΕΟΟΣ","","2021-09-23","ACTV","","",""
"RCPI","Cyprus","CY","","","Ιδιωτική Εταιρεία","Greek","el","Idiotiki Etaireia","","","2017-11-30","ACTV","","",""
"T1JS","Cyprus","CY","","","Οντότητες που διέπονται από το δημόσιο δίκαιο","Greek","el","Ontotites pou diepontai apo to dimosio dikaio","","","2017-11-30","ACTV","","",""
"U24X","Cyprus","CY","","","Συνεργατικά Πιστωτικά Ιδρύματα","Greek","el","Synergatika Pistotika Idrymata","","","2017-11-30","ACTV","","",""
"W86L","Cyprus","CY","","","Εταιρεία Περιορισμένης Ευθύνης με εγγύηση, χωρίς μετοχικό κεφάλαιο","Greek","el","Etaireia Periorismenis Efthynis me engyisi, choris metochiko kefalaio","","","2017-11-30","ACTV","","",""
"1JK6","Czech Republic","CZ","","","Svépomocné zemědělské družstvo","Czech","cs","Svépomocné zemědělské družstvo","","","2017-11-30","ACTV","","",""
"2DK3","Czech Republic","CZ","","","Podnik nebo hospodářské zařízení politické strany","Czech","cs","Podnik nebo hospodářské zařízení politické strany","","","2017-11-30","ACTV","","",""
"2N9X","Czech Republic","CZ","","","Česká konsolidační agentura","Czech","cs","Česká konsolidační agentura","","","2017-11-30","ACTV","","",""
"3BX3","Czech Republic","CZ","","","Evropské seskupení pro územní spolupráci","Czech","cs","Evropské seskupení pro územní spolupráci","","","2017-11-30","ACTV","","",""
"3G3D","Czech Republic","CZ","","","Nadace","Czech","cs","Nadace","","","2017-11-30","ACTV","","",""
"3RMA","Czech Republic","CZ","","","Státní fond ze zákona","Czech","cs","Státní fond ze zákona","","","2017-11-30","ACTV","","",""
"4A26","Czech Republic","CZ","","","Zájmová organizace družstev","Czech","cs","Zájmová organizace družstev","","","2017-11-30","ACTV","","",""
"4OTK","Czech Republic","CZ","","","Regionální rada regionu soudržnosti","Czech","cs","Regionální rada regionu soudržnosti","","","2017-11-30","ACTV","","",""
"4UB2","Czech Republic","CZ","","","Garanční fond obchodníků s cennými papíry","Czech","cs","Garanční fond obchodníků s cennými papíry","","","2017-11-30","ACTV","","",""
"4YAK","Czech Republic","CZ","","","Stálý rozhodčí soud","Czech","cs","Stálý rozhodčí soud","","","2017-11-30","ACTV","","",""
"5AP3","Czech Republic","CZ","","","Pobočná mezinárodní organizace zaměstnavatelů","Czech","cs","Pobočná mezinárodní organizace zaměstnavatelů","","","2017-11-30","ACTV","","",""
"5KU5","Czech Republic","CZ","","","Veřejná obchodní společnost","Czech","cs","Veřejná obchodní společnost","","","2017-11-30","ACTV","","",""
"6CQN","Czech Republic","CZ","","","Akciová společnost","Czech","cs","Akciová společnost","","","2017-11-30","ACTV","","",""
"6D9L","Czech Republic","CZ","","","Svěřenský fond","Czech","cs","Svěřenský fond","","","2021-09-23","ACTV","","",""
"6FAI","Czech Republic","CZ","","","Státní podnik","Czech","cs","Státní podnik","","","2017-11-30","ACTV","","",""
"6OMW","Czech Republic","CZ","","","Organizační jednotka občanského sdružení","Czech","cs","Organizační jednotka občanského sdružení","","","2017-11-30","ACTV","","",""
"747U","Czech Republic","CZ","","","Společnost komanditní na akcie","Czech","cs","Společnost komanditní na akcie","","","2017-11-30","ACTV","","",""
"74W6","Czech Republic","CZ","","","Státní příspěvková organizace ostatní","Czech","cs","Státní příspěvková organizace ostatní","","","2017-11-30","ACTV","","",""
"7OZQ","Czech Republic","CZ","","","Zájmové sdružení","Czech","cs","Zájmové sdružení","","","2017-11-30","ACTV","","",""
"84J8","Czech Republic","CZ","","","Státní hospodářská organizace řízená okresním úřadem","Czech","cs","Státní hospodářská organizace řízená okresním úřadem","","","2017-11-30","ACTV","","",""
"8K5T","Czech Republic","CZ","","","Spotřební družstvo","Czech","cs","Spotřební družstvo","","","2017-11-30","ACTV","","",""
"917C","Czech Republic","CZ","","","Česká tisková kancelář","Czech","cs","Česká tisková kancelář","","","2017-11-30","ACTV","","",""
"95G8","Czech Republic","CZ","","","Podnikající fyzická osoba tuzemská","Czech","cs","Podnikající fyzická osoba tuzemská","","","2017-11-30","ACTV","","",""
"971Y","Czech Republic","CZ","","","Podnik nebo hospodářské zařízení sdružení","Czech","cs","Podnik nebo hospodářské zařízení sdružení","","","2017-11-30","ACTV","","",""
"9HLU","Czech Republic","CZ","","","Společnost s ručením omezeným","Czech","cs","Společnost s ručením omezeným","","","2017-11-30","ACTV","","",""
"9RVC","Czech Republic","CZ","","","Družstvo","Czech","cs","Družstvo","","","2017-11-30","ACTV","","",""
"9XDB","Czech Republic","CZ","","","Občanské sdružení","Czech","cs","Občanské sdružení","","","2017-11-30","ACTV","","",""
"AM3T","Czech Republic","CZ","","","Státní fond ze zákona nezapisující se do obchodního rejstříku","Czech","cs","Státní fond ze zákona nezapisující se do obchodního rejstříku","","","2017-11-30","ACTV","","",""
"APEN","Czech Republic","CZ","","","Správa železniční dopravní cesty, státní organizace","Czech","cs","Správa železniční dopravní cesty, státní organizace","","","2017-11-30","ACTV","","",""
"BL4B","Czech Republic","CZ","","","Obecně prospěšná společnost","Czech","cs","Obecně prospěšná společnost","","","2017-11-30","ACTV","","",""
"C4Q2","Czech Republic","CZ","","","Všeobecná zdravotní pojišťovna","Czech","cs","Všeobecná zdravotní pojišťovna","","","2017-11-30","ACTV","","",""
"C5FE","Czech Republic","CZ","","","Samostatná drobná provozovna (obecního úřadu)","Czech","cs","Samostatná drobná provozovna (obecního úřadu)","","","2017-11-30","ACTV","","",""
"C7GZ","Czech Republic","CZ","","","Výrobní družstvo","Czech","cs","Výrobní družstvo","","","2017-11-30","ACTV","","",""
"CATU","Czech Republic","CZ","","","Spolek","Czech","cs","Spolek","","","2017-11-30","ACTV","","",""
"CD28","Czech Republic","CZ","","","Společnost komanditní","Czech","cs","Společnost komanditní","","","2017-11-30","ACTV","","",""
"CHJR","Czech Republic","CZ","","","Podnik se zahraniční majetkovou účastí","Czech","cs","Podnik se zahraniční majetkovou účastí","","","2017-11-30","ACTV","","",""
"CIO8","Czech Republic","CZ","","","Veřejná výzkumná instituce","Czech","cs","Veřejná výzkumná instituce","","","2017-11-30","ACTV","","",""
"CUKQ","Czech Republic","CZ","","","Mezinárodní organizace zaměstnavatelů","Czech","cs","Mezinárodní organizace zaměstnavatelů","","","2017-11-30","ACTV","","",""
"CZUA","Czech Republic","CZ","","","Zahraniční fyzická osoba","Czech","cs","Zahraniční fyzická osoba","","","2017-11-30","ACTV","","",""
"D1VK","Czech Republic","CZ","","","Školská právnická osoba","Czech","cs","Školská právnická osoba","","","2017-11-30","ACTV","","",""
"D35X","Czech Republic","CZ","","","Zahraniční spolek","Czech","cs","Zahraniční spolek","","","2017-11-30","ACTV","","",""
"ET6Z","Czech Republic","CZ","","","Svazy církví a náboženských společností","Czech","cs","Svazy církví a náboženských společností","","","2017-11-30","ACTV","","",""
"FIPS","Czech Republic","CZ","","","Banka-státní peněžní ústav","Czech","cs","Banka-státní peněžní ústav","","","2017-11-30","ACTV","","",""
"FY1B","Czech Republic","CZ","","","Církve a náboženské společnosti","Czech","cs","Církve a náboženské společnosti","","","2017-11-30","ACTV","","",""
"G2I3","Czech Republic","CZ","","","Pobočný spolek","Czech","cs","Pobočný spolek","","","2017-11-30","ACTV","","",""
"H4XQ","Czech Republic","CZ","","","Veřejné neziskové ústavní zdravotnické zařízení","Czech","cs","Veřejné neziskové ústavní zdravotnické zařízení","","","2017-11-30","ACTV","","",""
"H6WW","Czech Republic","CZ","","","Státní příspěvková organizace","Czech","cs","Státní příspěvková organizace","","","2017-11-30","ACTV","","",""
"HQPK","Czech Republic","CZ","","","Komora (hospodářská, agrární)","Czech","cs","Komora (hospodářská, agrární)","","","2017-11-30","ACTV","","",""
"HS5W","Czech Republic","CZ","","","Vnitřní organizační jednotka organizační složky státu","Czech","cs","Vnitřní organizační jednotka organizační složky státu","","","2017-11-30","ACTV","","",""
"HSNC","Czech Republic","CZ","","","Podnik zahraničního obchodu","Czech","cs","Podnik zahraničního obchodu","","","2017-11-30","ACTV","","",""
"HY6K","Czech Republic","CZ","","","Organizační složka zahraničního nadačního fondu","Czech","cs","Organizační složka zahraničního nadačního fondu","","","2017-11-30","ACTV","","",""
"I32F","Czech Republic","CZ","","","Sdružení mezinárodního obchodu","Czech","cs","Sdružení mezinárodního obchodu","","","2017-11-30","ACTV","","",""
"I68R","Czech Republic","CZ","","","Organizační jednotka zvláštní organizace pro zastoupení českých zájmů v mezinárodních nevládních organizacích","Czech","cs","Organizační jednotka zvláštní organizace pro zastoupení českých zájmů v mezinárodních nevládních organizacích","","","2017-11-30","ACTV","","",""
"IQ9O","Czech Republic","CZ","","","Společenství vlastníků jednotek","Czech","cs","Společenství vlastníků jednotek","","","2017-11-30","ACTV","","",""
"J8PB","Czech Republic","CZ","","","Obec","Czech","cs","Obec","","","2017-11-30","ACTV","","",""
"JCAD","Czech Republic","CZ","","","Evidované církevní právnické osoby","Czech","cs","Evidované církevní právnické osoby","","","2017-11-30","ACTV","","",""
"JJYB","Czech Republic","CZ","","","Zahraniční pobočný spolek","Czech","cs","Zahraniční pobočný spolek","","","2017-11-30","ACTV","","",""
"KM6Z","Czech Republic","CZ","","","Státní banka československá","Czech","cs","Státní banka československá","","","2017-11-30","ACTV","","",""
"LEDI","Czech Republic","CZ","","","Honební společenstvo","Czech","cs","Honební společenstvo","","","2017-11-30","ACTV","","",""
"LJ92","Czech Republic","CZ","","","Československé státní dráhy-státní organizace","Czech","cs","Československé státní dráhy-státní organizace","","","2017-11-30","ACTV","","",""
"LJL0","Czech Republic","CZ","","","Organizační složka státu","Czech","cs","Organizační složka státu","","","2017-11-30","ACTV","","",""
"LPCQ","Czech Republic","CZ","","","Mezinárodní odborová organizace","Czech","cs","Mezinárodní odborová organizace","","","2017-11-30","ACTV","","",""
"MAVU","Czech Republic","CZ","","","Dobrovolný svazek obcí","Czech","cs","Dobrovolný svazek obcí","","","2017-11-30","ACTV","","",""
"MBUU","Czech Republic","CZ","","","Příspěvková organizace zřízená územním samosprávným celkem","Czech","cs","Příspěvková organizace zřízená územním samosprávným celkem","","","2017-11-30","ACTV","","",""
"NI3I","Czech Republic","CZ","","","Veřejnoprávní instituce","Czech","cs","Veřejnoprávní instituce","","","2017-11-30","ACTV","","",""
"NJ87","Czech Republic","CZ","","","Společný podnik (s více zakladateli)","Czech","cs","Společný podnik (s více zakladateli)","","","2017-11-30","ACTV","","",""
"NPH3","Czech Republic","CZ","","","Česká národní banka","Czech","cs","Česká národní banka","","","2017-11-30","ACTV","","",""
"NQHQ","Czech Republic","CZ","","","Komoditní burza","Czech","cs","Komoditní burza","","","2017-11-30","ACTV","","",""
"O9PW","Czech Republic","CZ","","","Samosprávná stavovská organizace (profesní komora)","Czech","cs","Samosprávná stavovská organizace (profesní komora)","","","2017-11-30","ACTV","","",""
"OVKW","Czech Republic","CZ","","","Vysoká škola (veřejná, státní)","Czech","cs","Vysoká škola (veřejná, státní)","","","2017-11-30","ACTV","","",""
"P3YF","Czech Republic","CZ","","","Pobočná odborová organizace a organizace zaměstnavatelů","Czech","cs","Pobočná odborová organizace a organizace zaměstnavatelů","","","2017-11-30","ACTV","","",""
"PFE5","Czech Republic","CZ","","","Městská část, městský obvod","Czech","cs","Městská část, městský obvod","","","2017-11-30","ACTV","","",""
"PQJE","Czech Republic","CZ","","","Mezinárodní nevládní organizace","Czech","cs","Mezinárodní nevládní organizace","","","2017-11-30","ACTV","","",""
"Q25I","Czech Republic","CZ","","","Odborová organizace a organizace zaměstnavatelů","Czech","cs","Odborová organizace a organizace zaměstnavatelů","","","2017-11-30","ACTV","","",""
"QIEL","Czech Republic","CZ","","","Kraj","Czech","cs","Kraj","","","2017-11-30","ACTV","","",""
"QJ0F","Czech Republic","CZ","","","Ústav","Czech","cs","Ústav","","","2017-11-30","ACTV","","",""
"QJWK","Czech Republic","CZ","","","Rada pro veřejný dohled nad auditem","Czech","cs","Rada pro veřejný dohled nad auditem","","","2017-11-30","ACTV","","",""
"QQ49","Czech Republic","CZ","","","Zdravotní pojišťovna (mimo VZP)","Czech","cs","Zdravotní pojišťovna (mimo VZP)","","","2017-11-30","ACTV","","",""
"QS6A","Czech Republic","CZ","","","Nadační fond","Czech","cs","Nadační fond","","","2017-11-30","ACTV","","",""
"R2XE","Czech Republic","CZ","","","Organizační jednotka mezinárodní nevládní organizace","Czech","cs","Organizační jednotka mezinárodní nevládní organizace","","","2017-11-30","ACTV","","",""
"RBGQ","Czech Republic","CZ","","","Evropské hospodářské zájmové sdružení","Czech","cs","Evropské hospodářské zájmové sdružení","EHZS","","2017-11-30","ACTV","abbreviation added","2021-09-23","addition of abbreviation"
"RHFQ","Czech Republic","CZ","","","Družstevní podnik (s 1 zakladatelem)","Czech","cs","Družstevní podnik (s 1 zakladatelem)","","","2017-11-30","ACTV","","",""
"RP0E","Czech Republic","CZ","","","Obecní podnik","Czech","cs","Obecní podnik","","","2017-11-30","ACTV","","",""
"SNWJ","Czech Republic","CZ","","","Podílový, penzijní fond","Czech","cs","Podílový, penzijní fond","","","2021-09-23","ACTV","","",""
"T1FT","Czech Republic","CZ","","","Evropská družstevní společnost","Czech","cs","Evropská družstevní společnost","SCE","","2017-11-30","ACTV","abbreviation added","2021-09-23","addition of abbreviation"
"T3Q1","Czech Republic","CZ","","","Bytové družstvo","Czech","cs","Bytové družstvo","","","2017-11-30","ACTV","","",""
"TNBA","Czech Republic","CZ","","","Odštěpný závod zahraniční právnické osoby","Czech","cs","Odštěpný závod zahraniční právnické osoby","","","2017-11-30","ACTV","","",""
"U95A","Czech Republic","CZ","","","Odštěpný závod zahraniční fyzické osoby","Czech","cs","Odštěpný závod zahraniční fyzické osoby","","","2017-11-30","ACTV","","",""
"UFDA","Czech Republic","CZ","","","Národní podnik","Czech","cs","Národní podnik","","","2017-11-30","ACTV","","",""
"V6YH","Czech Republic","CZ","","","Společná zájmová organizace družstev","Czech","cs","Společná zájmová organizace družstev","","","2017-11-30","ACTV","","",""
"VIE3","Czech Republic","CZ","","","Zájmové sdružení právnických osob","Czech","cs","Zájmové sdružení právnických osob","","","2017-11-30","ACTV","","",""
"VQU7","Czech Republic","CZ","","","Organizační složka zahraniční nadace","Czech","cs","Organizační složka zahraniční nadace","","","2017-11-30","ACTV","","",""
"WJ30","Czech Republic","CZ","","","Družstevní podnik zemědělský","Czech","cs","Družstevní podnik zemědělský","","","2017-11-30","ACTV","","",""
"WL83","Czech Republic","CZ","","","Zvláštní organizace pro zastoupení českých zájmů v mezinárodních nevládních organizacích","Czech","cs","Zvláštní organizace pro zastoupení českých zájmů v mezinárodních nevládních organizacích","","","2017-11-30","ACTV","","",""
"WO0T","Czech Republic","CZ","","","Pobočná mezinárodní odborová organizace","Czech","cs","Pobočná mezinárodní odborová organizace","","","2017-11-30","ACTV","","",""
"WUFK","Czech Republic","CZ","","","Odštěpný závod","Czech","cs","Odštěpný závod","","","2017-11-30","ACTV","","",""
"WVZF","Czech Republic","CZ","","","Účelová zahraničně obchodní organizace","Czech","cs","Účelová zahraničně obchodní organizace","","","2017-11-30","ACTV","","",""
"XG70","Czech Republic","CZ","","","Právnikcá osoba zřízená zvláštním zákonem zapisovaná do veřejného rejstříku","Czech","cs","Právnikcá osoba zřízená zvláštním zákonem zapisovaná do veřejného rejstříku","","","2017-11-30","ACTV","","",""
"XRK7","Czech Republic","CZ","","","Politická strana, politické hnutí","Czech","cs","Politická strana, politické hnutí","","","2017-11-30","ACTV","","",""
"Y18E","Czech Republic","CZ","","","Společný podnik","Czech","cs","Společný podnik","","","2017-11-30","ACTV","","",""
"Z3BF","Czech Republic","CZ","","","Zemědělské družstvo","Czech","cs","Zemědělské družstvo","","","2017-11-30","ACTV","","",""
"ZQO8","Czech Republic","CZ","","","Evropská společnost","Czech","cs","Evropská společnost","SE","","2017-11-30","ACTV","abbreviation added","2021-09-23","addition of abbreviation"
"ZU32","Czech Republic","CZ","","","Jiné družstvo","Czech","cs","Jiné družstvo","","","2017-11-30","ACTV","","",""
"1MWR","Denmark","DK","","","Fond","Danish","da","Fond","","","2019-07-05","ACTV","","",""
"37UT","Denmark","DK","","","Region","Danish","da","Region","","","2021-09-23","ACTV","","",""
"40R4","Denmark","DK","","","Forening","Danish","da","Forening","","","2021-09-23","ACTV","","",""
"599X","Denmark","DK","","","Fonde og andre selvejende institutioner","Danish","da","Fonde og andre selvejende institutioner","","","2021-09-23","ACTV","","",""
"5QS7","Denmark","DK","","","Iværksætterselskab","Danish","da","Iværksætterselskab","IVS","","2017-11-30","ACTV","comments corrected","2021-09-23","since 15 April 2019, it is not possible to create a new iværksætterselskab; all organisations with this legal form have to convert into an anpartsselskab (ELF Code H8VP) before 15 October 2021"
"7WRN","Denmark","DK","","","Interessentskab","Danish","da","Interessentskab","I/S","","2017-11-30","ACTV","","",""
"9KSX","Denmark","DK","","","Partnerselskab","Danish","da","Partnerselskab","P/S","","2017-11-30","ACTV","","",""
"D4PU","Denmark","DK","","","Frivillig forening","Danish","da","Frivillig forening","","","2021-09-23","ACTV","","",""
"F7JY","Denmark","DK","","","Særlig Finansiel virksomhed","Danish","da","Særlig Finansiel virksomhed","","","2021-09-23","ACTV","","",""
"FUKI","Denmark","DK","","","Enkeltmandsvirksomhed","Danish","da","Enkeltmandsvirksomhed","","","2017-11-30","ACTV","","",""
"FW7S","Denmark","DK","","","Europæisk andelsselskab","Danish","da","Europæisk andelsselskab","SCE-selskab","","2017-11-30","ACTV","","",""
"GFXN","Denmark","DK","","","Primærkommune","Danish","da","Primærkommune","","","2021-09-23","ACTV","","",""
"GULL","Denmark","DK","","","Selskab med begrænset ansvar","Danish","da","Selskab med begrænset ansvar","SMBA","","2017-11-30","ACTV","","",""
"H8VP","Denmark","DK","","","Anpartsselskab","Danish","da","Anpartsselskab","ApS","","2017-11-30","ACTV","","",""
"LWOD","Denmark","DK","","","Medarbejderinvesteringsselskab","Danish","da","Medarbejderinvesteringsselskab","","","2017-11-30","ACTV","","",""
"NUL8","Denmark","DK","","","Kommanditselskab","Danish","da","Kommanditselskab","K/S","","2017-11-30","ACTV","","",""
"PIOI","Denmark","DK","","","Erhvervsdrivende fond","Danish","da","Erhvervsdrivende fond","","","2021-09-23","ACTV","","",""
"PMJW","Denmark","DK","","","Andelsselskab","Danish","da","Andelsselskab","","","2021-09-23","ACTV","","",""
"PZ6Y","Denmark","DK","","","Andelsselskab med begrænset ansvar","Danish","da","Andelsselskab med begrænset ansvar","AMBA","","2017-11-30","ACTV","","",""
"TB2C","Denmark","DK","","","Europæisk økonomisk firmagruppe","Danish","da","Europæisk økonomisk firmagruppe","EØFG","","2017-11-30","ACTV","","",""
"UA1O","Denmark","DK","","","Europæisk selskab","Danish","da","Europæisk selskab","SE-selskab","","2017-11-30","ACTV","","",""
"WU7R","Denmark","DK","","","Forening med begrænset ansvar","Danish","da","Forening med begrænset ansvar","FMBA","","2017-11-30","ACTV","","",""
"ZRPO","Denmark","DK","","","Aktieselskab","Danish","da","Aktieselskab","A/S","","2017-11-30","ACTV","","",""
"3ZBR","Dominican Republic","DO","","","Sociedad Anónima","Spanish","es","Sociedad Anónima","S. A.","","2020-06-10","ACTV","","",""
"8WQ9","Dominican Republic","DO","","","Sociedad en Comandita Simple","Spanish","es","Sociedad en Comandita Simple","S. en C.","","2020-06-10","ACTV","","",""
"B35X","Dominican Republic","DO","","","Sociedad en Participación(sin personalidad jurídica)","Spanish","es","Sociedad en Participación(sin personalidad jurídica)","","","2020-06-10","ACTV","","",""
"DQAU","Dominican Republic","DO","","","Sociedad Anónima Simplificada","Spanish","es","Sociedad Anónima Simplificada","SAS","","2020-06-10","ACTV","","",""
"K4CD","Dominican Republic","DO","","","Empresa Individual de Responsabilidad Limitada ","Spanish","es","Empresa Individual de Responsabilidad Limitada ","EIRL","","2020-06-10","ACTV","","",""
"LSWY","Dominican Republic","DO","","","Sociedad en Nombre Colectivo","Spanish","es","Sociedad en Nombre Colectivo","","","2020-06-10","ACTV","","",""
"SWO8","Dominican Republic","DO","","","Sociedad de Responsaibilidad Limitada","Spanish","es","Sociedad de Responsaibilidad Limitada","S. R. L.","","2020-06-10","ACTV","","",""
"T4LC","Dominican Republic","DO","","","Sociedad en Comandita por Acciones","Spanish","es","Sociedad en Comandita por Acciones","","","2020-06-10","ACTV","","",""
"6TPE","Ecuador","EC","","","Compañía en nombre colectivo","Spanish","es","Compañía en nombre colectivo","CNCOL","","2020-06-10","ACTV","","",""
